District_Name,UnitName,predicted_FIRs_next_year,trend_direction
BENGALURU CITY,EAST CEN CRIME PS,169.87,increasing
BENGALURU CITY,YELAHANKA NEW TOWN PS,155.95,increasing
BENGALURU CITY,JEEVAN BHEEMANAGAR PS,152.64,increasing
BENGALURU CITY,BANASWADI PS,158.4,increasing
BENGALURU CITY,MARATHAHALLI PS,159.24,increasing
BENGALURU CITY,PARAPPANA AGRAHARA PS,163.41,increasing
BENGALURU CITY,HALASUR PS,160.83,increasing
BENGALURU CITY,SOLADEVANAHALLI PS,162.08,increasing
BENGALURU CITY,MAHADEVAPURA PS,163.07,increasing
BENGALURU CITY,WHITEFIELD PS,163.28,increasing
BENGALURU CITY,VIDYARANYAPURA PS,174.86,increasing
BENGALURU CITY,SAMPIGEHALLI PS,175.28,increasing
BENGALURU CITY,VIVEKNAGAR PS,175.56,increasing
BENGALURU CITY,CENTRAL CEN CRIME PS,197.4,increasing
BENGALURU CITY,UPPARPET TRAFFIC PS,177.75,increasing
BENGALURU CITY,ELECTRONIC CITY TRAFFIC PS,183.89,increasing
BENGALURU CITY,HIGH GROUNDS PS,185.0,increasing
BENGALURU CITY,GIRINAGAR PS,186.11,increasing
BENGALURU CITY,BASAVANAGUDI PS,188.06,increasing
BENGALURU CITY,WHITEFIELD CEN CRIME PS,203.56,increasing
BENGALURU CITY,R.T. NAGAR PS,192.92,increasing
BENGALURU CITY,JNANABHARATHI PS,195.28,increasing
BENGALURU CITY,BELLANDURU PS,197.37,increasing
BENGALURU CITY,HULIMAVU PS,202.64,increasing
BENGALURU CITY,DEVANAHALLI TRAFFIC PS,207.43,increasing
BENGALURU CITY,KEMPAPURA AGRAHARA PS,209.44,increasing
BENGALURU CITY,NORTH CEN CRIME PS,237.07,increasing
BENGALURU CITY,RAJAGOPAL NAGAR PS,211.94,increasing
BENGALURU CITY,KALASIPALYA PS,216.11,increasing
BENGALURU CITY,R.T.NAGAR TRAFFIC PS,220.14,increasing
BENGALURU CITY,ADUGODI PS,220.42,increasing
BENGALURU CITY,KONANAKUNTE PS,231.79,increasing
BENGALURU CITY,SUDDAGUNTEPALYA PS,243.62,increasing
BENGALURU CITY,SANJAY NAGAR PS,234.86,increasing
BENGALURU CITY,ASHOKNAGAR PS,239.58,increasing
BENGALURU CITY,CITY MARKET PS,239.58,increasing
BENGALURU CITY,JAYANAGAR PS,243.75,increasing
BENGALURU CITY,ANNAPOORNESHWARI NAGAR PS,248.5,increasing
BENGALURU CITY,KAMAKSHIPALYA PS,248.93,increasing
BENGALURU CITY,AIRPORT PS,160.8,stable
BENGALURU CITY,SOUTH CEN CRIME PS,264.94,increasing
BENGALURU CITY,KENGERI PS,271.53,increasing
BENGALURU CITY,NORTHEAST CEN CRIME PS,310.33,increasing
BENGALURU CITY,YESHWANTHAPURA TRAFFIC PS,283.19,increasing
BENGALURU CITY,VARTHUR PS,286.11,increasing
BENGALURU CITY,MICO LAYOUT PS,288.75,increasing
BENGALURU CITY,DEVARAJEEVANAHALLI PS,297.22,increasing
BENGALURU CITY,PEENYA PS,313.19,increasing
BENGALURU CITY,PEENYA TRAFFIC PS,315.31,increasing
